ssid,bssid,index
ap-nttu,04:d5:90:2a:76:a0,0
ap-nttu,04:d5:90:2a:79:a0,1
ap-nttu,04:d5:90:2a:b1:08,2
ap-nttu,08:5b:0e:0f:c1:b3,3
ap-nttu,48:3a:02:00:ac:48,4
ap-nttu,48:3a:02:00:ac:50,5
ap-nttu,48:3a:02:00:b0:e8,6
ap-nttu,48:3a:02:01:2e:10,7
ap-nttu,48:3a:02:01:4e:30,8
ap-nttu,48:3a:02:13:df:d0,9
ap-nttu,48:3a:02:14:2d:10,10
ap-nttu,48:3a:02:14:2f:d0,11
ap-nttu,48:3a:02:14:38:c8,12
ap-nttu,48:3a:02:14:3e:08,13
ap-nttu,48:3a:02:14:3e:10,14
ap-nttu,48:3a:02:14:76:10,15
ap-nttu,74:78:a6:00:e2:70,16
ap-nttu,74:78:a6:00:ef:30,17
ap-nttu,80:80:2c:34:db:58,18
ap-nttu,80:80:2c:34:e2:38,19
ap-nttu,80:80:2c:34:e2:f8,20
ap-nttu,80:80:2c:34:e7:f8,21
ap-nttu,80:80:2c:34:e8:58,22
ap-nttu,80:80:2c:34:e9:78,23
ap-nttu,80:80:2c:34:ea:78,24
ap-nttu,80:80:2c:34:eb:18,25
ap-nttu,80:80:2c:35:55:98,26
ap-nttu,80:80:2c:35:55:b8,27
ap-nttu,80:80:2c:35:76:38,28
ap-nttu,80:80:2c:35:78:b8,29
ap-nttu,80:80:2c:35:79:18,30
ap-nttu,80:80:2c:35:80:58,31
ap-nttu,80:80:2c:35:91:f8,32
ap-nttu,80:80:2c:35:96:18,33
ap-nttu,80:80:2c:35:9a:d8,34
ap-nttu,80:80:2c:35:a4:f8,35
ap-nttu,80:80:2c:35:ac:98,36
ap-nttu,80:80:2c:35:ae:f8,37
ap-nttu,80:80:2c:35:b4:d8,38
ap-nttu,80:80:2c:35:bd:38,39
ap-nttu,80:80:2c:35:bf:b8,40
ap-nttu,80:80:2c:35:c2:f8,41
ap-nttu,80:80:2c:35:d0:b8,42
ap-nttu,80:80:2c:35:d6:78,43
ap-nttu,80:80:2c:35:d6:98,44
ap-nttu,80:80:2c:35:d6:b8,45
ap-nttu,80:80:2c:36:2e:38,46
ap-nttu,80:80:2c:36:7d:38,47
ap-nttu,80:80:2c:36:7e:98,48
ap-nttu,80:80:2c:36:8c:38,49
ap-nttu,80:80:2c:36:c0:f8,50
ap-nttu,80:80:2c:36:cb:f8,51
ap-nttu,80:80:2c:36:de:b8,52
ap-nttu,80:80:2c:36:e8:78,53
ap-nttu,80:80:2c:36:e9:b8,54
ap-nttu,80:80:2c:37:11:58,55
ap-nttu,80:80:2c:37:1f:98,56
ap-nttu,80:80:2c:37:21:58,57
ap-nttu,80:80:2c:37:36:78,58
ap-nttu,90:6c:ac:03:5e:bb,59
ap-nttu,90:6c:ac:2c:74:e9,60
ap-nttu,90:6c:ac:2c:74:fb,61
ap-nttu,90:6c:ac:2c:75:9d,62
ap-nttu,90:6c:ac:2c:88:87,63
ap-nttu,90:6c:ac:2c:8c:1d,64
ap-nttu,90:6c:ac:2c:8c:53,65
ap-nttu,90:6c:ac:2c:93:f5,66
ap-nttu,90:6c:ac:2c:93:fd,67
ap-nttu,90:6c:ac:2c:98:87,68
ap-nttu,90:6c:ac:2c:9e:03,69
ap-nttu,90:6c:ac:2c:9e:0b,70
ap-nttu,90:6c:ac:2c:9e:27,71
ap-nttu,90:6c:ac:2c:9e:c9,72
ap-nttu,90:6c:ac:2c:9f:e9,73
ap-nttu,90:6c:ac:2c:9f:f1,74
ap-nttu,90:6c:ac:5d:c2:c3,75
ap-nttu,90:6c:ac:7d:d7:79,76
ap-nttu,90:6c:ac:7e:74:8d,77
ap-nttu,90:6c:ac:7e:7a:2d,78
ap-nttu,90:6c:ac:92:87:5d,79
ap-nttu,94:ff:3c:bf:ac:30,80
ap-nttu,94:ff:3c:bf:c3:f0,81
ap-nttu,94:ff:3c:bf:ce:70,82
ap-nttu,94:ff:3c:bf:f3:30,83
ap-nttu,94:ff:3c:bf:f3:b0,84
ap-nttu,94:ff:3c:bf:f4:90,85
ap-nttu,94:ff:3c:c0:25:50,86
ap-nttu,94:ff:3c:c0:75:d0,87
ap-nttu,94:ff:3c:c0:7a:30,88
ap-nttu,94:ff:3c:c0:7f:f0,89
ap-nttu,94:ff:3c:c0:8f:b0,90
ap-nttu,94:ff:3c:c0:92:b0,91
ap-nttu,94:ff:3c:c0:95:f0,92
ap-nttu,94:ff:3c:c0:9b:70,93
ap-nttu,94:ff:3c:c0:9c:70,94
ap-nttu,94:ff:3c:c0:9e:70,95
ap-nttu,94:ff:3c:c0:a3:d0,96
ap-nttu,ac:71:2e:c5:73:38,97
ap-nttu,ac:71:2e:c5:77:98,98
ap-nttu,ac:71:2e:c5:78:18,99
ap-nttu,ac:71:2e:c5:7a:58,100
ap-nttu,ac:71:2e:c5:8b:b8,101
ap-nttu,ac:71:2e:c5:90:98,102
ap-nttu,ac:71:2e:c5:94:18,103
ap-nttu,ac:71:2e:c5:95:38,104
ap-nttu,ac:71:2e:c5:a1:38,105
ap-nttu,ac:71:2e:c5:a1:58,106
ap-nttu,ac:71:2e:c5:b9:98,107
ap-nttu,ac:71:2e:c5:fc:78,108
ap-nttu,ac:71:2e:c5:ff:18,109
ap-nttu,ac:71:2e:c5:ff:38,110
ap-nttu,ac:71:2e:c6:06:38,111
ap-nttu,ac:71:2e:c6:06:58,112
ap-nttu,ac:71:2e:c6:06:98,113
ap-nttu,ac:71:2e:c6:18:b8,114
ap-nttu,ac:71:2e:c6:20:b8,115
ap-nttu,ac:71:2e:c6:29:38,116
ap-nttu,ac:71:2e:c6:2e:f8,117
ap-nttu,ac:71:2e:c6:2f:78,118
ap-nttu,ac:71:2e:c6:2f:f8,119
ap-nttu,ac:71:2e:c6:34:78,120
ap-nttu,ac:71:2e:c6:34:f8,121
ap-nttu,ac:71:2e:c6:35:58,122
ap-nttu,ac:71:2e:c6:43:18,123
ap-nttu,ac:71:2e:c6:43:58,124
ap-nttu,ac:71:2e:c6:44:58,125
ap-nttu,e8:ed:d6:7f:3f:18,126
ap-nttu,e8:ed:d6:80:ef:78,127
ap-nttu,e8:ed:d6:81:06:d8,128
ap-nttu,e8:ed:d6:81:5e:98,129
ap-nttu,e8:ed:d6:81:79:b8,130
ap2-nttu,04:d5:90:2a:76:a1,131
ap2-nttu,04:d5:90:2a:79:a1,132
ap2-nttu,04:d5:90:2a:b1:09,133
ap2-nttu,1a:5b:0e:0f:c1:b3,134
ap2-nttu,48:3a:02:00:ac:49,135
ap2-nttu,48:3a:02:00:ac:51,136
ap2-nttu,48:3a:02:00:b0:e9,137
ap2-nttu,48:3a:02:01:2e:11,138
ap2-nttu,48:3a:02:01:4e:31,139
ap2-nttu,48:3a:02:14:2f:c9,140
ap2-nttu,48:3a:02:14:2f:d1,141
ap2-nttu,48:3a:02:14:38:c9,142
ap2-nttu,48:3a:02:14:3e:09,143
ap2-nttu,48:3a:02:14:3e:11,144
ap2-nttu,48:3a:02:14:76:11,145
ap2-nttu,74:78:a6:00:e2:71,146
ap2-nttu,74:78:a6:00:ef:31,147
ap2-nttu,80:80:2c:34:db:59,148
ap2-nttu,80:80:2c:34:e2:39,149
ap2-nttu,80:80:2c:34:e2:f9,150
ap2-nttu,80:80:2c:34:e7:f9,151
ap2-nttu,80:80:2c:34:e8:59,152
ap2-nttu,80:80:2c:34:e9:79,153
ap2-nttu,80:80:2c:34:ea:79,154
ap2-nttu,80:80:2c:34:eb:19,155
ap2-nttu,80:80:2c:35:55:99,156
ap2-nttu,80:80:2c:35:55:b9,157
ap2-nttu,80:80:2c:35:76:39,158
ap2-nttu,80:80:2c:35:78:b9,159
ap2-nttu,80:80:2c:35:79:19,160
ap2-nttu,80:80:2c:35:80:59,161
ap2-nttu,80:80:2c:35:91:f9,162
ap2-nttu,80:80:2c:35:96:19,163
ap2-nttu,80:80:2c:35:9a:d9,164
ap2-nttu,80:80:2c:35:a4:f9,165
ap2-nttu,80:80:2c:35:ac:99,166
ap2-nttu,80:80:2c:35:ae:f9,167
ap2-nttu,80:80:2c:35:b4:d9,168
ap2-nttu,80:80:2c:35:bd:39,169
ap2-nttu,80:80:2c:35:bf:b9,170
ap2-nttu,80:80:2c:35:c2:f9,171
ap2-nttu,80:80:2c:35:d0:b9,172
ap2-nttu,80:80:2c:35:d6:79,173
ap2-nttu,80:80:2c:35:d6:99,174
ap2-nttu,80:80:2c:35:d6:b9,175
ap2-nttu,80:80:2c:36:2e:39,176
ap2-nttu,80:80:2c:36:7d:39,177
ap2-nttu,80:80:2c:36:7e:99,178
ap2-nttu,80:80:2c:36:8c:39,179
ap2-nttu,80:80:2c:36:c0:f9,180
ap2-nttu,80:80:2c:36:cb:f9,181
ap2-nttu,80:80:2c:36:de:b9,182
ap2-nttu,80:80:2c:36:e8:79,183
ap2-nttu,80:80:2c:36:e9:b9,184
ap2-nttu,80:80:2c:37:11:59,185
ap2-nttu,80:80:2c:37:1f:99,186
ap2-nttu,80:80:2c:37:21:59,187
ap2-nttu,80:80:2c:37:36:79,188
ap2-nttu,94:ff:3c:bf:ac:31,189
ap2-nttu,94:ff:3c:bf:c3:f1,190
ap2-nttu,94:ff:3c:bf:ce:71,191
ap2-nttu,94:ff:3c:bf:f3:31,192
ap2-nttu,94:ff:3c:bf:f3:b1,193
ap2-nttu,94:ff:3c:bf:f4:91,194
ap2-nttu,94:ff:3c:c0:25:51,195
ap2-nttu,94:ff:3c:c0:75:d1,196
ap2-nttu,94:ff:3c:c0:7a:31,197
ap2-nttu,94:ff:3c:c0:7f:f1,198
ap2-nttu,94:ff:3c:c0:8f:b1,199
ap2-nttu,94:ff:3c:c0:92:b1,200
ap2-nttu,94:ff:3c:c0:95:f1,201
ap2-nttu,94:ff:3c:c0:9b:71,202
ap2-nttu,94:ff:3c:c0:9c:71,203
ap2-nttu,94:ff:3c:c0:9e:71,204
ap2-nttu,94:ff:3c:c0:a3:d1,205
ap2-nttu,a2:6c:ac:03:5e:bb,206
ap2-nttu,a2:6c:ac:2c:74:e9,207
ap2-nttu,a2:6c:ac:2c:74:fb,208
ap2-nttu,a2:6c:ac:2c:75:9d,209
ap2-nttu,a2:6c:ac:2c:88:87,210
ap2-nttu,a2:6c:ac:2c:8c:1d,211
ap2-nttu,a2:6c:ac:2c:8c:53,212
ap2-nttu,a2:6c:ac:2c:93:fd,213
ap2-nttu,a2:6c:ac:2c:98:87,214
ap2-nttu,a2:6c:ac:2c:9e:03,215
ap2-nttu,a2:6c:ac:2c:9e:0b,216
ap2-nttu,a2:6c:ac:2c:9e:27,217
ap2-nttu,a2:6c:ac:2c:9e:c9,218
ap2-nttu,a2:6c:ac:2c:9f:e9,219
ap2-nttu,a2:6c:ac:2c:9f:f1,220
ap2-nttu,a2:6c:ac:5d:c2:c3,221
ap2-nttu,a2:6c:ac:7d:d7:79,222
ap2-nttu,a2:6c:ac:7e:74:8d,223
ap2-nttu,a2:6c:ac:7e:7a:2d,224
ap2-nttu,a2:6c:ac:92:84:61,225
ap2-nttu,a2:6c:ac:92:87:5d,226
ap2-nttu,ac:71:2e:c5:73:39,227
ap2-nttu,ac:71:2e:c5:77:99,228
ap2-nttu,ac:71:2e:c5:78:19,229
ap2-nttu,ac:71:2e:c5:7a:59,230
ap2-nttu,ac:71:2e:c5:8b:b9,231
ap2-nttu,ac:71:2e:c5:90:99,232
ap2-nttu,ac:71:2e:c5:94:19,233
ap2-nttu,ac:71:2e:c5:95:39,234
ap2-nttu,ac:71:2e:c5:a1:39,235
ap2-nttu,ac:71:2e:c5:a1:59,236
ap2-nttu,ac:71:2e:c5:b9:99,237
ap2-nttu,ac:71:2e:c5:fc:79,238
ap2-nttu,ac:71:2e:c5:ff:19,239
ap2-nttu,ac:71:2e:c5:ff:39,240
ap2-nttu,ac:71:2e:c6:06:39,241
ap2-nttu,ac:71:2e:c6:06:59,242
ap2-nttu,ac:71:2e:c6:06:99,243
ap2-nttu,ac:71:2e:c6:18:b9,244
ap2-nttu,ac:71:2e:c6:20:b9,245
ap2-nttu,ac:71:2e:c6:29:39,246
ap2-nttu,ac:71:2e:c6:2e:f9,247
ap2-nttu,ac:71:2e:c6:2f:79,248
ap2-nttu,ac:71:2e:c6:2f:f9,249
ap2-nttu,ac:71:2e:c6:34:79,250
ap2-nttu,ac:71:2e:c6:34:f9,251
ap2-nttu,ac:71:2e:c6:35:59,252
ap2-nttu,ac:71:2e:c6:43:19,253
ap2-nttu,ac:71:2e:c6:43:59,254
ap2-nttu,ac:71:2e:c6:44:59,255
ap2-nttu,e8:ed:d6:7f:3f:19,256
ap2-nttu,e8:ed:d6:80:ef:79,257
ap2-nttu,e8:ed:d6:81:06:d9,258
ap2-nttu,e8:ed:d6:81:5e:99,259
ap2-nttu,e8:ed:d6:81:79:b9,260
eduroam,04:d5:90:2a:76:a2,261
eduroam,04:d5:90:2a:79:a2,262
eduroam,04:d5:90:2a:b1:0a,263
eduroam,2a:5b:0e:0f:c1:b3,264
eduroam,48:3a:02:00:ac:4a,265
eduroam,48:3a:02:00:ac:52,266
eduroam,48:3a:02:00:b0:ea,267
eduroam,48:3a:02:01:2e:12,268
eduroam,48:3a:02:01:4e:32,269
eduroam,48:3a:02:14:2f:ca,270
eduroam,48:3a:02:14:2f:d2,271
eduroam,48:3a:02:14:38:ca,272
eduroam,48:3a:02:14:3e:0a,273
eduroam,48:3a:02:14:3e:12,274
eduroam,48:3a:02:14:76:12,275
eduroam,74:78:a6:00:e2:72,276
eduroam,74:78:a6:00:ef:32,277
eduroam,80:80:2c:34:db:5a,278
eduroam,80:80:2c:34:e2:3a,279
eduroam,80:80:2c:34:e2:fa,280
eduroam,80:80:2c:34:e7:fa,281
eduroam,80:80:2c:34:e8:5a,282
eduroam,80:80:2c:34:e9:7a,283
eduroam,80:80:2c:34:ea:7a,284
eduroam,80:80:2c:34:eb:1a,285
eduroam,80:80:2c:35:55:9a,286
eduroam,80:80:2c:35:55:ba,287
eduroam,80:80:2c:35:76:3a,288
eduroam,80:80:2c:35:78:ba,289
eduroam,80:80:2c:35:79:1a,290
eduroam,80:80:2c:35:80:5a,291
eduroam,80:80:2c:35:91:fa,292
eduroam,80:80:2c:35:96:1a,293
eduroam,80:80:2c:35:9a:da,294
eduroam,80:80:2c:35:a4:fa,295
eduroam,80:80:2c:35:ac:9a,296
eduroam,80:80:2c:35:ae:fa,297
eduroam,80:80:2c:35:b4:da,298
eduroam,80:80:2c:35:bd:3a,299
eduroam,80:80:2c:35:bf:ba,300
eduroam,80:80:2c:35:c2:fa,301
eduroam,80:80:2c:35:d0:ba,302
eduroam,80:80:2c:35:d6:7a,303
eduroam,80:80:2c:35:d6:9a,304
eduroam,80:80:2c:35:d6:ba,305
eduroam,80:80:2c:36:2e:3a,306
eduroam,80:80:2c:36:7d:3a,307
eduroam,80:80:2c:36:7e:9a,308
eduroam,80:80:2c:36:8c:3a,309
eduroam,80:80:2c:36:c0:fa,310
eduroam,80:80:2c:36:cb:fa,311
eduroam,80:80:2c:36:de:ba,312
eduroam,80:80:2c:36:e8:7a,313
eduroam,80:80:2c:36:e9:ba,314
eduroam,80:80:2c:37:11:5a,315
eduroam,80:80:2c:37:1f:9a,316
eduroam,80:80:2c:37:21:5a,317
eduroam,80:80:2c:37:36:7a,318
eduroam,94:ff:3c:bf:ac:32,319
eduroam,94:ff:3c:bf:c3:f2,320
eduroam,94:ff:3c:bf:ce:72,321
eduroam,94:ff:3c:bf:f3:32,322
eduroam,94:ff:3c:bf:f3:b2,323
eduroam,94:ff:3c:bf:f4:92,324
eduroam,94:ff:3c:c0:25:52,325
eduroam,94:ff:3c:c0:75:d2,326
eduroam,94:ff:3c:c0:7a:32,327
eduroam,94:ff:3c:c0:7f:f2,328
eduroam,94:ff:3c:c0:8f:b2,329
eduroam,94:ff:3c:c0:92:b2,330
eduroam,94:ff:3c:c0:95:f2,331
eduroam,94:ff:3c:c0:9b:72,332
eduroam,94:ff:3c:c0:9c:72,333
eduroam,94:ff:3c:c0:9e:72,334
eduroam,94:ff:3c:c0:a3:d2,335
eduroam,ac:71:2e:c5:73:3a,336
eduroam,ac:71:2e:c5:77:9a,337
eduroam,ac:71:2e:c5:78:1a,338
eduroam,ac:71:2e:c5:7a:5a,339
eduroam,ac:71:2e:c5:8b:ba,340
eduroam,ac:71:2e:c5:90:9a,341
eduroam,ac:71:2e:c5:94:1a,342
eduroam,ac:71:2e:c5:95:3a,343
eduroam,ac:71:2e:c5:a1:3a,344
eduroam,ac:71:2e:c5:a1:5a,345
eduroam,ac:71:2e:c5:b9:9a,346
eduroam,ac:71:2e:c5:fc:7a,347
eduroam,ac:71:2e:c5:ff:1a,348
eduroam,ac:71:2e:c5:ff:3a,349
eduroam,ac:71:2e:c6:06:3a,350
eduroam,ac:71:2e:c6:06:5a,351
eduroam,ac:71:2e:c6:06:9a,352
eduroam,ac:71:2e:c6:18:ba,353
eduroam,ac:71:2e:c6:20:ba,354
eduroam,ac:71:2e:c6:29:3a,355
eduroam,ac:71:2e:c6:2e:fa,356
eduroam,ac:71:2e:c6:2f:7a,357
eduroam,ac:71:2e:c6:2f:fa,358
eduroam,ac:71:2e:c6:34:7a,359
eduroam,ac:71:2e:c6:34:fa,360
eduroam,ac:71:2e:c6:35:5a,361
eduroam,ac:71:2e:c6:43:1a,362
eduroam,ac:71:2e:c6:43:5a,363
eduroam,ac:71:2e:c6:44:5a,364
eduroam,b2:6c:ac:03:5e:bb,365
eduroam,b2:6c:ac:2c:69:73,366
eduroam,b2:6c:ac:2c:74:e9,367
eduroam,b2:6c:ac:2c:74:fb,368
